================ Training Loss (Mon Apr 11 16:27:16 2022) ================
(epoch: 103, iters: 544, time: 0.044, data: 0.008) D_A: 0.136 G_A: 0.440 cycle_A: 0.485 idt_A: 0.256 D_B: 0.273 G_B: 0.920 cycle_B: 0.647 idt_B: 0.172 
(epoch: 104, iters: 416, time: 0.044, data: 0.007) D_A: 0.145 G_A: 0.628 cycle_A: 0.462 idt_A: 0.242 D_B: 0.186 G_B: 0.358 cycle_B: 0.630 idt_B: 0.186 
(epoch: 105, iters: 288, time: 0.044, data: 0.008) D_A: 0.138 G_A: 0.582 cycle_A: 0.476 idt_A: 0.196 D_B: 0.209 G_B: 0.508 cycle_B: 0.485 idt_B: 0.186 
(epoch: 106, iters: 160, time: 0.045, data: 0.007) D_A: 0.116 G_A: 0.640 cycle_A: 0.561 idt_A: 0.307 D_B: 0.302 G_B: 0.113 cycle_B: 0.738 idt_B: 0.175 
(epoch: 107, iters: 32, time: 0.040, data: 0.008) D_A: 0.107 G_A: 0.610 cycle_A: 0.577 idt_A: 0.303 D_B: 0.156 G_B: 0.692 cycle_B: 0.792 idt_B: 0.223 
(epoch: 107, iters: 832, time: 0.030, data: 0.009) D_A: 0.180 G_A: 0.305 cycle_A: 0.463 idt_A: 0.237 D_B: 0.161 G_B: 0.674 cycle_B: 0.611 idt_B: 0.182 
(epoch: 108, iters: 704, time: 0.044, data: 0.009) D_A: 0.128 G_A: 0.798 cycle_A: 0.489 idt_A: 0.230 D_B: 0.174 G_B: 0.435 cycle_B: 0.616 idt_B: 0.195 
(epoch: 109, iters: 576, time: 0.044, data: 0.013) D_A: 0.159 G_A: 0.328 cycle_A: 0.506 idt_A: 0.216 D_B: 0.196 G_B: 0.784 cycle_B: 0.557 idt_B: 0.177 
(epoch: 110, iters: 448, time: 0.046, data: 0.007) D_A: 0.230 G_A: 0.288 cycle_A: 0.479 idt_A: 0.229 D_B: 0.204 G_B: 0.702 cycle_B: 0.608 idt_B: 0.194 
(epoch: 111, iters: 320, time: 0.046, data: 0.008) D_A: 0.124 G_A: 0.414 cycle_A: 0.459 idt_A: 0.206 D_B: 0.169 G_B: 0.322 cycle_B: 0.597 idt_B: 0.217 
